,text,target
158,no phantasy star yesterday going to work,0
159,oh just got all my macheist apps sweet didn t get the espresso serial no though although they said they sent it oh well,0
160,picked mich st to win it all from the get go was feeling pretty good about that pick all the way up until tonight a s lost too,0
161,is alone downstairs working,0
162,i feel bad for doing it,0
163,is it just me or she hates anoop i mean seriously she s kinda mean to him,0
164,yes sprint has g only in baltimore and chicago so far,0
165,i m stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday,0
166,thanks for bursting my bubble,0
167,going to school soon can t find anything to wear gosh it s so hard,0
168,i was serious lol,0
169,i had on my page for sooooo long until it got deleted sad day in history,0
170,crazy wind today no birding,0
171,currently at work,0
172,grrr my ipods acting weird too jai ho and thinking of you aren t playing the full songs ughh,0
173,send me the dvd cos i have missed out on heaps not happy about that,0
174,i don t see the big deal with this website,0
175,i m so sorry you re having to go through this again therapyfail,0
176,far too out of the way for rail any other tips,0
177,i m not still up i swear why do i keep losing gaining losing gaining tweeps so heart wrenching,0
178,today i realized i am too good at hiding things even i can t find it,0
179,staying at a friends house house sitting neighbors are so loud having a party,0
180,danny im upset that i wasnt here to watch the live chat i was in a car for hours on a trip im soooo upset,0
181,check out my mug obscura blogspot com,0
182,borders closed at,0
183,downloading nin s new album the slip when the hell did this come out i m so behind the times these days,0
184,just woke up an already have written some e mail i ve to go early at university today as i have to teach at am,0
185,is watching the hill and its making me sad,0
186,so many channels yet so so boring lazy day again may have to find a hobby,0
187,i miss my buddy ill be in ny on the th,0
188,love the french i tell people here in the south i m qtr french and they snarl at me french are beautiful people,0
189,opps as i said i still got one day remain and now problem come,0
190,i activated my selfcontrol block early meaning i can t check out the new qc regularizing my internal clock is might be difficult fb,0
191,oh no,0
192,spencer is not a good guy,0
193,what about reese dying on ttsc and season finale next week boring madame president is a crazy woman,0
194,i hate the limited letters too hope you and the guys are fine i pray for my dog she s not well,0
195,didn t get shit done today i m so screwed,0
196,wanttss to go out,0
197,is not going to sleep tonite,0
198,too worried and tired to post tonight,0
199,couldn t get shit done today i m so screwed,0
200,job interview in cardiff today wish me luck got about hours sleep,0
201,your show is whack way worse than whack it s wiggety whack,0
202,i really don t think people choose to be that way but i think he chose not to accept my family s help he might be dead by now,0
203,you re going to kill me but i ve not seen ds i ve been waiting till i can do it in one solid week sitting,0
204,i think ur right hahaha hrs now,0
205,i hate to see the spartans so sad,0
206,my mind and body are severely protesting this getting up thing had nightmares to boot,0
207,i m goin to follow u since u didn t lol go angels,0
208,,0
209,i think i want to read some books but the library doesn t have them,0
210,my nap was interrupted so many times today going out for japanese with the rents again,0
211,kind of longs for the bus that shows up at the end of ghost world right now ugh,0
212,but this is canada canada is weird we re supposed to get snow through wednesday ugh,0
213,awwh babs you look so sad underneith that shop entrance of yesterday s musik o i like the look of the new transformer movie,0
214,sad that the feet of my macbook just fell off,0
215,i m gonna get up late tomorrow and it s am here i gonna get tipsy by my lonesome that s that s just sad,0
216,i m sweating my forthcoming trip to e if i can t find someone to crash with while i m out there i may be screwed,0
217,has now gotten somebody to read his tweets but cant get them to make an account,0
218,omgawd i couldnt handle my cat being in heat all the time d d,0
219,i hope i can make it to the auburn show but its not looking good for me,0
220,henrie thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho haha,0
221,congrats i totally forgot to submit photos,0
222,awww good luck paula please don t work too hard but i hope you have fun your new album is gonna be amazing xxx,0
223,now your leaving me gets sad,0
224,i miss you twitter my phone broke now i m using a stupid nokia phone ughhh i miss my advance phone,0
225,shooting outside my house o not kidding so scared,0
226,tuesday ll start with reflection n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers,0
227,what tragedy and disaster in the news this week,0
228,yes yes still trying to find a picture that will upload correclty,0
229,why oh why was the red sox game rained out i was so looking forward to opening day,0
230,i still can t find my keys,0
231,i know right i dunno what is going on with twitter,0
232,might be getting a sore throat again,0
233,my home town my mammy called all depressd pls explain y a parent let their yr old child walk alone hello its,0
