Title,Description,Author,Category,Source,Link,Class_Model1,Class_Model2
Benchmarks Surface Go 2 with Intel Core m3 is looking great,The Core m3 sure brings a boost in performance plus other smaller improvements to the Surface Go 2 The Surface Go 2 is now official and Microsoft will begin shipping the device on May 12th in more than 20 different markets Now with a more prominent display smaller bezels and new processor options the Surface Go 2 looks to be a significant bump over its predecessor so long as you shell out the extra cash I have had the Surface Go 2 for nearly the last 24 hours While it is way too early for battery life estimates I have been able to run some synthetic benchmarks to add some perspective to that new Intel Core m3 8100Y processor Here are five things I have noticed with the new Surface Go 2 so far Tiny PC Surface Go 2 From 399 at Microsoft Small and portable The new Surface Go 2 packs a larger 10 5 inch higher resolution display thinner bezels more power and storage for all your on the go computing tasks Compatible with previous and new accessories Inte ,Daniel Rubino,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/SA5Vs9xN0cQ/surface-go-2-core-m3-benchmarks,4,1
Would you buy a Surface Laptop Pro if Microsoft made it Poll ,Imagine something like the Razer Blade 15 but built like a Surface The Surface Book 3 is the most powerful Surface in Microsoft s lineup But for some that power isn t enough Despite a stated 50 percent boost to performance with new chips from Intel and NVIDIA the fact that the Surface Book 3 only uses quad core CPUs was a disappointment to some The thing is Surface Book 3 is never going to push hardware limits like some wish it would Windows Central executive editor Daniel Rubino tackled the issue in a recent post explaining why Surface Book will never be the monster some want it to be To keep things brief it comes down to engineering hurdles and what the Surface Book is designed for Turns out it s hard putting most of the guts of a PC in the display Doing that and designing for the thermals of something like a gaming PC is nigh impossible at least right now What would be more practical and what Rubino posits in his piece is something like a Surface Laptop ,Dan Thorp-Lancaster,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/RV4pzBhtcUM/would-you-buy-surface-laptop-pro-if-microsoft-made-it-poll,0,1
How to play with friends in Minecraft Dungeons,Descend into darkness with your bros Mojang s next adventure into the wonderful world of Minecraft is none other than Minecraft Dungeons an aggressive entry that combines the best of Diablo with the sandbox title everyone knows and love The only way I can think of to make the experience even better is to combine it with all those friends I wish I had If you have friends here s everything you need to know about co op in Minecraft Dungeons How can I play with friends in Minecraft Dungeons Minecraft Dungeons is a fantastic platform for social features and gameplay so of course Mojang made those features front and center when you re playing The only requirement Be hanging out at your camp which is your rest point between every level Here you can take a moment to upgrade your weapons with enchantments buy new gear with emeralds and more If you re at camp all you need to do to play with friends is open the Friends menu using the View button the one that looks like ,Zachary Boddy,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/xS3XidZGRC4/minecraft-dungeons-guide-how-play-friends-co-op,4,1
Microsoft and Amazon trade more jabs in fight over DoD JEDI contract,Things are getting pretty ugly What you need to know Microsoft and Amazon penned heated blog posts going after one another in the dispute over the U S government s JEDI contract Microsoft contends Amazon is trying to force a re do of the contract bidding process Amazon counters that Microsoft is bully its way to an unjust victory Microsoft and Amazon s very public spat over the former s winning bid on the Department of Defense s DoD JEDI contract got a little uglier this week The two companies traded blows in heated blog posts after Amazon apparently filed another protest with the DoD In a post published Thursday Microsoft s CVP of communications Frank Shaw said that Amazon is trying to grind the process to a halt From Shaw This latest filing filed with the DoD this time is another example of Amazon trying to bog down JEDI in complaints litigation and other delays designed to force a do over to rescue its failed bid Think about it Amazon spent t ,Dan Thorp-Lancaster,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/kS-iI4uutCM/microsoft-and-amazon-trade-more-jabs-fight-over-dod-jedi-contract,0,8
Keep your Surface Go Surface Go 2 safe in the hands of kids and students,Microsoft s Surface Go and refreshed Surface Go 2 are ideal devices for students and kids thanks to a lightweight and portable design They re small and light enough for little hands to hold and they ll fit easily into a backpack or under an arm when moving between classes However handing over your Go to the kids might be a bit nerve wracking and tossing it into a backpack along with all the other gear in there might cause damage To add some peace of mind we ve rounded up the best cases for students and kids Thanks to the Go 2 sharing the same dimensions as the original Go all options should work with either device Seriously Rugged UAG Metropolis case Staff pick Are you worried about the longevity of your Go or Go 2 in the hands of your kids This rugged case from UAG has plenty of protection on the corners to protect against drops and the entire back is covered to prevent scratches The built in Go kickstand is replaced by a stand on the case there s less degree of ,Cale Hunt,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/O62bX719AYo/best-surface-go-cases-kids-and-students,4,1
Destiny 2 Trials of Osiris rewards for May 8 to 12,Get them before next Tuesday Destiny 2 is a popular first person shooter and its Trials of Osiris mode is the ultimate player vs player competition While the game suffers from a lot of cheaters mostly those using lag switches you can still get 7 wins in a row if you keep on trying You just need a patient team Trials of Osiris offers some amazing rewards and if you re in the market for arguably the best sniper rifles in the game right now you should get at least 7 wins The Eye of Sol is incredibly powerful This week also gives you a chance to complete that amazing armor set by offering the legs after 5 wins and the helmet after going Flawless meaning 7 wins in a row without a loss or one loss if you use the Passage of Mercy 3 wins The Scholar Legendary Scout Rifle 5 wins Legs of the Exile Legendary Armor 7 wins Eye of Sol Legendary Sniper Rifle Flawless Helmet of the Exile Legendary Armor Do you play Trials of Osiris What do you think of Destiny 2 a ,Asher Madan,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/OfsR7sB7RUo/destiny-2-trials-osiris-rewards-may-8-12-include-eye-sol,4,10
Keep your hands germ free with this multipurpose brass stylus,You no longer need to be an obsessive germaphobe in order to understand and appreciate the importance of good hygiene Thanks to the unexpected outbreak of the coronavirus the entire country has been forced to remain extremely vigilant when it comes to going outside and interacting with the world and washing your hands twelve times a day can only go so far if you re constantly touching surfaces that have been potentially infected The Safe Touch N Go Contact Less Keychain Tool will help keep you and your family safe by drastically reducing the amount of contact you have with everything from doors and buttons to countertops and ATM machines and right now it s on sale for over 65 off at just 19 99 This simple tool is made from naturally antimicrobial brass that eliminates up to 99 9 of the germs and pathogens it comes into contact with allowing you to stay germ free when you re forced to go outdoors With an ergonomic hook design that also doubles as a useful keychain the ,WindowsCentralShop,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/Sv32yeMm_ng/keep-your-hands-germ-free-multipurpose-brass-stylus,4,6
Join us for the latest Windows Central Video Podcast,Join Daniel Rubino and Zac Bowden for a LIVE recording of the Windows Central Video Podcast Make sure you join us for the broadcast of this week s Windows Central Video Podcast LIVE today at 2 30pm ET For those in different time zones here s when we ll be live Convert your time zone here Head to our YouTube page to see the podcast or watch the embed above We ll be talking about this week s biggest Microsoft news Make sure you re there Be sure to be following us on Twitter as we ll be tweeting out when the show begins Alternatively bookmark this page and come back later as the player embedded in this post will be where we stream to ,Zac Bowden,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/Fab0iuXTWiI/podcast-live,4,2
The Surface Pro doesn t have an Ethernet port but these accessories do,If you want a solid and stable internet connection your best bet most of the time is to go with an Ethernet connection While some PCs gaming laptops and business laptops have built in Ethernet ports Surface Pro devices require additional hardware Luckily there are quite a few options ranging from expensive and sturdy docks that create a desktop setup to inexpensive dongles Products used in this guide New dock Surface Dock 2 260 at Microsoft Original dock Surface Dock 179 at Microsoft Small dongle Startech USB 3 0 A to ethernet adapter 22 at Amazon Fast Ethernet Amazon Basics Cat 6 Ethernet cable 7 at Amazon Desk dock Kensington Surface Pro Dock 400 at Amazon How to add Ethernet to your Surface Dock your Surface Pro into whichever dock or device you have or connect your dongle to the USB port Connect an Ethernet cable to your router Plug the Ethernet cable into your dock or dongle You don t have to do any software configuration for an Ethernet ,Sean Endicott,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/6geBMaxUNtU/how-add-ethernet-port-microsoft-surface-pro,4,4
Here s what we know about The Ascent for Xbox Series X,Fight to protect your newfound freedom from corporate scavengers One of the many games revealed during the May 7 Inside Xbox showcase for Xbox Series X was The Ascent an isometric RPG from Neon Giant and Curve Digital Neon Giant is a small team composed of 11 developers who worked on games like Wolfenstein and Gears of War Even with a small team this game is making a big impression Here s everything we know about The Ascent What is The Ascent The Ascent gameplay and features Is The Ascent a multiplayer game Is The Ascent coming to PS5 The Ascent release date What is The Ascent Developed by Neon Giant and published by Curve Digital The Ascent is set on the world of Veles where corporations own various districts Playing as an indentured worker you go about your daily tasks until a megacorporation known as The Ascent Group collapses This opens a power vaccuum as criminals and other corporations try to sieze control You can check our the reveal trailer below ,Samuel Tolbert,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/4NbanFeRslk/ascent,4,12
Bing Wallpapers app for Android brings Bing s daily images to your phone,Now you don t need to use Microsoft Launcher to get Bing s high quality wallpapers on your phone What you need to know Microsoft recently released a Bing Wallpapers app for Android The app allows you to set Bing s daily images as your wallpaper Previously you had to use Microsoft Launcher to automatically change your wallpaper to Bing s images Microsoft recently launched the Bing Wallpapers app for Android a new app that lets you bring Bing s daily images to your phone The app gives you access to the current Bing image as well as an archive of daily images that Bing has used in the past You can quickly set any of the available images as your home screen or lock screen wallpaper There s also an automatic update option that allows the app to automatically swap your wallpaper to the daily image as it changes Bing Wallpapers features a collection of beautiful images featured on the Bing homepage over the last 10 years Microsoft says in the app s description Browse i ,Dan Thorp-Lancaster,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/-Ea7qsLMQo8/bing-wallpapers-app-android-brings-bings-daily-images-your-phone,4,2
Expand connectivity on your Surface Laptop 2 with a Surface Dock 2,Best answer The Surface Laptop 2 connects to the Surface Dock 2 with the proprietary Surface Connect port for data transfer and charging Thanks to the Dock 2 s refresh with modern ports and other extra goodies it makes a great addition to the Laptop 2 Updated docking station Surface Dock 2 260 at Microsoft What ports does the Surface Dock 2 offer We ve been waiting for an updated Surface Dock for years and it s finally here in the form of the Surface Dock 2 Most notably it brings a modern selection of ports better charging capabilities a longer connection cable and better external display support It still uses the proprietary Surface Connect port to hook up to Surface devices and it should have no issues working with the Surface Laptop 2 The front of the dock has two USB C 3 2 ports each with 15W of charging power for connected accessories The back holds the majority of ports with Ethernet dual USB A 3 2 10Gbps dual USB C 3 2 and 3 5mm audio The sid ,Cale Hunt,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/LTCdhwzpRcM/should-you-buy-surface-dock-surface-laptop-2,4,1
Office for iPad reportedly picking up mouse support by fall,Mouse and trackpad support was added to iPads in March What you need to know Microsoft is working to bring mouse and trackpad support to Office for iPad The feature is reportedly expected to hit the apps by fall 2020 Apple shipped mouse and trackpad support for iPad in March Microsoft is reportedly working to bring mouse and trackpad support to its Office for iPad apps According to TechCrunch Microsoft is expected to ship the feature to the apps later this year The Verge narrows down that timeframe further stating Microsoft is targeting its release by fall 2020 Microsoft hasn t spoken about its plans for cursor support yet but the company has typically supported new iOS features relatively quickly For example Microsoft tested dark mode across its Office apps in the run up to its official support in iOS 13 The feature rolled out to everyone shortly thereafter Microsoft has both individual Office apps as well as a new unified Office app on iOS Presumably we ll ,Dan Thorp-Lancaster,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/4AUvb-J5kyQ/office-ipad-reportedly-picking-mouse-support-fall,0,2
Microsoft may have tipped the Windows 10 May 2020 Update release date,We knew the Windows 10 May 2020 Update would arrive in well May However now we might have a better idea of when in May it ll ship What you need to know The Windows 10 May 2020 Update is planned to arrive later this month In an update to its driver shiproom schedule Microsoft has blocked out May 26 28 as a Feature Update timeframe This could indicate the May 2020 Update is expected to arrive on one of those dates The Windows 10 May 2020 Update is nearly ready to ship out to the public and now we could have a better idea of when Microsoft is planning to roll it out In an update to its driver shiproom schedule via Neowin for 2020 Microsoft has blocked out May 26 28 as a timeframe for an upcoming Windows 10 feature update Without an official announcement this is the best hint at when we can expect the May 2020 Update to begin its public rollout The driver shiproom schedule is a document Microsoft uses to give hardware manufacturers an idea of when it plans to ship ,Dan Thorp-Lancaster,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/EPyNJnLZTNc/microsoft-may-have-tipped-windows-10-may-2020-update-release-date,4,2
Comparing the new Surface Book 3 against the Surface Pro 7,New Surface Book Surface Book 3 1 600 at Microsoft Pros 10th Gen Intel Core Ice Lake CPUs Wi Fi 6 Better battery life Dedicated GPU options Cons Not quite as portable More expensive The Surface Book 3 comes rocking 10th Gen Intel processors dedicated NVIDIA graphics faster RAM and storage as well as Wi Fi 6 and better battery life This makes it the most powerful Surface Book to date It s just not quite as portable or affordable as the Surface Pro 7 Pro Tablet Surface Pro 7 From 749 at Microsoft Pros 10th Gen Intel Core Ice Lake CPUs Wi Fi 6 Lower starting price More portable Cons No dedicated GPU options Pay extra for Type Cover Battery not as large Microsoft s Surface Pro 7 is the most powerful Surface tablet also housing 10th Gen Intel processors supporting Wi Fi 6 and coming with plenty of configurations available It s also more affordable and better for those who want a more portable Surface PC Just be prepared to endure the lack o ,Rich Edmonds,,Windows Central,http://feeds.windowscentral.com/~r/wmexperts/~3/EMZATqCkU9k/surface-book-3-vs-surface-pro-7,4,1
